source_interval,image_size,image_discrepancy,normalized_image_discrepancy,iteration_depth
"[27,2026] J",2000,33,0.03343465,1
"[27,10026] Y",5000,-6,0.00239617,1
"[27,100026] Y",50000,-48,0.00192092,1
"[32,51] Y",10,3,0.42857143,1
"[32,51] J",20,2,0.2,1
"[32,81] Y",25,3,0.2,1
"[32,81] J",50,8,0.33333333,1
"[32,131] Y",50,10,0.29411765,1
"[32,131] J",100,11,0.19298246,1
"[32,231] Y",100,16,0.27586207,1
"[32,231] J",200,39,0.37864078,1
"[32,531] Y",250,21,0.15789474,1
"[32,531] J",500,114,0.45967742,1
"[32,1031] Y",500,14,0.05555556,1
"[32,1031] J",1000,191,0.38123752,1
"[32,2031] Y",1000,6,0.01181102,1
"[32,2031] J",2000,34,0.03441296,1
"[32,10031] Y",5000,-4,0.00159617,1
"[32,100031] Y",50000,-49,0.00196086,1
"[37,56] Y",10,3,0.42857143,1
"[37,56] J",20,7,0.63636364,1
"[37,86] Y",25,2,0.14285714,1
"[37,86] J",50,6,0.25,1
"[37,136] Y",50,9,0.27272727,1
"[37,136] J",100,15,0.26315789,1
"[37,236] Y",100,14,0.25,1
"[37,236] J",200,42,0.41176471,1
"[37,536] Y",250,18,0.13636364,1
"[37,536] J",500,116,0.46774194,1
"[37,1036] Y",500,13,0.05179283,1
"[37,1036] J",1000,192,0.38554217,1
"[37,2036] Y",1000,5,0.00986193,1
"[37,2036] J",2000,32,0.03238866,1
"[37,10036] Y",5000,-6,0.00239617,1
"[37,100036] Y",50000,-50,0.00200096,1
"[64,83] Y",10,-1,0.2,1
"[64,83] J",20,-2,0.33333333,1
"[64,113] Y",25,3,0.17647059,1
"[64,113] J",50,-6,0.23076923,1
"[64,163] Y",50,10,0.33333333,1
"[64,163] J",100,12,0.24,1
"[64,263] Y",100,13,0.24528302,1
"[64,263] J",200,43,0.42574257,1
"[64,563] Y",250,13,0.09774436,1
"[64,563] J",500,117,0.45882353,1
"[64,1063] Y",500,7,0.02788845,1
"[64,1063] J",1000,179,0.36456212,1
"[64,2063] Y",1000,1,0.00196464,1
"[64,2063] J",2000,8,0.00803213,1
"[64,10063] Y",5000,-9,0.00359569,1
"[64,100063] Y",50000,-54,0.00216121,1
"[74,93] Y",10,-2,0.33333333,1
"[74,93] J",20,-8,0.66666667,1
"[74,123] Y",25,2,0.11111111,1
"[74,123] J",50,-6,0.21428571,1
"[74,173] Y",50,9,0.29032258,1
"[74,173] J",100,13,0.24528302,1
"[74,273] Y",100,10,0.18518519,1
"[74,273] J",200,40,0.39215686,1
"[74,573] Y",250,13,0.09774436,1
"[74,573] J",500,122,0.46923077,1
"[74,1073] Y",500,2,0.00787402,1
"[74,1073] J",1000,174,0.35222672,1
"[74,2073] Y",1000,-1,0.00196464,1
"[74,2073] J",2000,1,0.000999,1
"[74,10073] Y",5000,-12,0.00479233,1
"[74,100073] Y",50000,-57,0.00228119,1
"[100,119] Y",10,2,0.25,1
"[100,119] J",20,2,0.25,1
"[100,149] Y",25,7,0.46666667,1
"[100,149] J",50,18,0.69230769,1
"[100,199] Y",50,13,0.41935484,1
"[100,199] J",100,37,0.67272727,1
"[100,299] Y",100,8,0.16666667,1
"[100,299] J",200,52,0.56521739,1
"[100,599] Y",250,12,0.09375,1
"[100,599] J",500,131,0.53036437,1
"[100,1099] Y",500,0,0.0,1
"[100,1099] J",1000,176,0.36065574,1
"[100,2099] Y",1000,3,0.00591716,1
"[100,2099] J",2000,1,0.00099701,1
"[100,10099] Y",5000,-13,0.00519377,1
"[100,100099] Y",50000,-59,0.00236161,1
"[128,147] Y",10,2,0.5,1
"[128,147] J",20,10,0.83333333,1
"[128,177] Y",25,6,0.5,1
"[128,177] J",50,18,0.75,1
"[128,227] Y",50,5,0.2,1
"[128,227] J",100,27,0.57446809,1
"[128,327] Y",100,3,0.06666667,1
"[128,327] J",200,56,0.57142857,1
"[128,627] Y",250,1,0.008,1
"[128,627] J",500,116,0.47933884,1
"[128,1127] Y",500,-4,0.016,1
"[128,1127] J",1000,155,0.31187123,1
"[128,2127] Y",1000,-2,0.00393701,1
"[128,2127] J",2000,-15,0.0148662,1
"[128,10127] Y",5000,-21,0.00841009,1
"[128,100127] Y",50000,-64,0.00256205,1
