round,target,predecessor,branch,validation_status
6,54,2970,E,ok
6,54,2972,E,ok
6,54,2974,E,ok
6,54,2976,E,ok
6,54,2978,E,ok
6,54,2980,E,ok
6,54,2982,E,ok
6,54,2984,E,ok
6,54,2986,E,ok
6,54,2988,E,ok
6,54,2990,E,ok
6,54,2992,E,ok
6,54,2994,E,ok
6,54,2996,E,ok
6,54,2998,E,ok
6,54,3000,E,ok
6,54,3002,E,ok
6,54,3004,E,ok
6,54,3006,E,ok
6,54,3008,E,ok
6,54,3010,E,ok
6,54,3012,E,ok
6,54,3014,E,ok
6,54,3016,E,ok
6,54,3018,E,ok
6,54,3020,E,ok
6,54,3022,E,ok
6,54,3024,E,ok
6,56,3136,E,ok
6,56,3138,E,ok
6,56,3140,E,ok
6,56,3142,E,ok
6,56,3144,E,ok
6,56,3146,E,ok
6,56,3148,E,ok
6,56,3150,E,ok
6,56,3152,E,ok
6,56,3154,E,ok
6,56,3156,E,ok
6,56,3158,E,ok
6,56,3160,E,ok
6,56,3162,E,ok
6,56,3164,E,ok
6,56,3166,E,ok
6,56,3168,E,ok
6,56,3170,E,ok
6,56,3172,E,ok
6,56,3174,E,ok
6,56,3176,E,ok
6,56,3178,E,ok
6,56,3180,E,ok
6,56,3182,E,ok
6,56,3184,E,ok
6,56,3186,E,ok
6,56,3188,E,ok
6,56,3190,E,ok
6,56,3192,E,ok
6,56,3194,E,ok
6,56,3196,E,ok
6,56,3198,E,ok
6,56,3200,E,ok
6,56,3202,E,ok
6,56,3204,E,ok
6,56,3206,E,ok
6,56,3208,E,ok
6,56,3210,E,ok
6,56,3212,E,ok
6,56,3214,E,ok
6,56,3216,E,ok
6,56,3218,E,ok
6,56,3220,E,ok
6,56,3222,E,ok
6,56,3224,E,ok
6,56,3226,E,ok
6,56,3228,E,ok
6,56,3230,E,ok
6,56,3232,E,ok
6,56,3234,E,ok
6,56,3236,E,ok
6,56,3238,E,ok
6,56,3240,E,ok
6,56,3242,E,ok
6,56,3244,E,ok
6,56,3246,E,ok
6,56,3248,E,ok
6,58,3364,E,ok
6,58,3366,E,ok
6,58,3368,E,ok
6,58,3370,E,ok
6,58,3372,E,ok
6,58,3374,E,ok
6,58,3376,E,ok
6,58,3378,E,ok
6,58,3380,E,ok
6,58,3382,E,ok
6,58,3384,E,ok
6,58,3386,E,ok
6,58,3388,E,ok
6,58,3390,E,ok
6,58,3392,E,ok
6,58,3394,E,ok
6,58,3396,E,ok
6,58,3398,E,ok
6,58,3400,E,ok
6,58,3402,E,ok
6,58,3404,E,ok
6,58,3406,E,ok
6,58,3408,E,ok
6,58,3410,E,ok
6,58,3412,E,ok
6,58,3414,E,ok
6,58,3416,E,ok
6,58,3418,E,ok
6,58,3420,E,ok
6,58,3422,E,ok
6,58,3424,E,ok
6,58,3426,E,ok
6,58,3428,E,ok
6,58,3430,E,ok
6,58,3432,E,ok
6,58,3434,E,ok
6,58,3436,E,ok
6,58,3438,E,ok
6,58,3440,E,ok
6,58,3442,E,ok
6,58,3444,E,ok
6,58,3446,E,ok
6,58,3448,E,ok
6,58,3450,E,ok
6,58,3452,E,ok
6,58,3454,E,ok
6,58,3456,E,ok
6,58,3458,E,ok
6,58,3460,E,ok
6,58,3462,E,ok
6,58,3464,E,ok
6,58,3466,E,ok
6,58,3468,E,ok
6,58,3470,E,ok
6,58,3472,E,ok
6,58,3474,E,ok
6,58,3476,E,ok
6,58,3478,E,ok
6,58,3480,E,ok
6,58,15,O,ok
6,60,3600,E,ok
6,60,3602,E,ok
6,60,3604,E,ok
6,60,3606,E,ok
6,60,3608,E,ok
6,60,3610,E,ok
6,60,3612,E,ok
6,60,3614,E,ok
6,60,3616,E,ok
6,60,3618,E,ok
6,60,3620,E,ok
6,60,3622,E,ok
6,60,3624,E,ok
6,60,3626,E,ok
6,60,3628,E,ok
6,60,3630,E,ok
6,60,3632,E,ok
6,60,3634,E,ok
6,60,3636,E,ok
6,60,3638,E,ok
6,60,3640,E,ok
6,60,3642,E,ok
6,60,3644,E,ok
6,60,3646,E,ok
6,60,3648,E,ok
6,60,3650,E,ok
6,60,3652,E,ok
6,60,3654,E,ok
6,60,3656,E,ok
6,60,3658,E,ok
6,60,3660,E,ok
