root,parent,child,inverse_letter,even_remainder,child_minus_parent,mod3_class,depth,validation_status
268,268,72360,E,536,72092,1,1,ok
269,269,72362,E,1,72093,2,1,ok
269,269,72898,E,537,72629,2,1,ok
270,270,72900,E,0,72630,0,1,ok
270,270,73440,E,540,73170,0,1,ok
271,271,73442,E,1,73171,1,1,ok
271,271,73982,E,541,73711,1,1,ok
272,272,73984,E,0,73712,2,1,ok
272,272,74528,E,544,74256,2,1,ok
273,273,74530,E,1,74257,0,1,ok
273,273,75074,E,545,74801,0,1,ok
274,274,75076,E,0,74802,1,1,ok
274,274,75624,E,548,75350,1,1,ok
275,275,75626,E,1,75351,2,1,ok
275,275,76174,E,549,75899,2,1,ok
276,276,76176,E,0,75900,0,1,ok
276,276,76728,E,552,76452,0,1,ok
277,277,76730,E,1,76453,1,1,ok
277,277,77282,E,553,77005,1,1,ok
278,278,77284,E,0,77006,2,1,ok
278,278,77840,E,556,77562,2,1,ok
279,279,77842,E,1,77563,0,1,ok
279,279,78398,E,557,78119,0,1,ok
280,280,78400,E,0,78120,1,1,ok
280,280,78960,E,560,78680,1,1,ok
281,281,78962,E,1,78681,2,1,ok
281,281,79522,E,561,79241,2,1,ok
281,281,43,O,,-238,2,1,ok
282,282,79524,E,0,79242,0,1,ok
282,282,80088,E,564,79806,0,1,ok
283,283,80090,E,1,79807,1,1,ok
283,283,80654,E,565,80371,1,1,ok
284,284,80656,E,0,80372,2,1,ok
284,284,81224,E,568,80940,2,1,ok
285,285,81226,E,1,80941,0,1,ok
285,285,81794,E,569,81509,0,1,ok
286,286,81796,E,0,81510,1,1,ok
286,286,82368,E,572,82082,1,1,ok
287,287,82370,E,1,82083,2,1,ok
287,287,82942,E,573,82655,2,1,ok
288,288,82944,E,0,82656,0,1,ok
288,288,83520,E,576,83232,0,1,ok
289,289,83522,E,1,83233,1,1,ok
289,289,84098,E,577,83809,1,1,ok
290,290,84100,E,0,83810,2,1,ok
290,290,84680,E,580,84390,2,1,ok
291,291,84682,E,1,84391,0,1,ok
291,291,85262,E,581,84971,0,1,ok
292,292,85264,E,0,84972,1,1,ok
292,292,85848,E,584,85556,1,1,ok
293,293,85850,E,1,85557,2,1,ok
293,293,86434,E,585,86141,2,1,ok
294,294,86436,E,0,86142,0,1,ok
294,294,87024,E,588,86730,0,1,ok
295,295,87026,E,1,86731,1,1,ok
295,295,87614,E,589,87319,1,1,ok
296,296,87616,E,0,87320,2,1,ok
296,296,88208,E,592,87912,2,1,ok
297,297,88210,E,1,87913,0,1,ok
297,297,88802,E,593,88505,0,1,ok
298,298,88804,E,0,88506,1,1,ok
298,298,89400,E,596,89102,1,1,ok
299,299,89402,E,1,89103,2,1,ok
299,299,89998,E,597,89699,2,1,ok
300,300,90000,E,0,89700,0,1,ok
300,300,90600,E,600,90300,0,1,ok
301,301,90602,E,1,90301,1,1,ok
301,301,91202,E,601,90901,1,1,ok
301,301,45,O,,-256,1,1,ok
302,302,91204,E,0,90902,2,1,ok
302,302,91808,E,604,91506,2,1,ok
303,303,91810,E,1,91507,0,1,ok
303,303,92414,E,605,92111,0,1,ok
304,304,92416,E,0,92112,1,1,ok
304,304,93024,E,608,92720,1,1,ok
305,305,93026,E,1,92721,2,1,ok
305,305,93634,E,609,93329,2,1,ok
306,306,93636,E,0,93330,0,1,ok
306,306,94248,E,612,93942,0,1,ok
307,307,94250,E,1,93943,1,1,ok
307,307,94862,E,613,94555,1,1,ok
308,308,94864,E,0,94556,2,1,ok
308,308,95480,E,616,95172,2,1,ok
309,309,95482,E,1,95173,0,1,ok
309,309,96098,E,617,95789,0,1,ok
310,310,96100,E,0,95790,1,1,ok
310,310,96720,E,620,96410,1,1,ok
311,311,96722,E,1,96411,2,1,ok
311,311,97342,E,621,97031,2,1,ok
312,312,97344,E,0,97032,0,1,ok
312,312,97968,E,624,97656,0,1,ok
313,313,97970,E,1,97657,1,1,ok
313,313,98594,E,625,98281,1,1,ok
314,314,98596,E,0,98282,2,1,ok
314,314,99224,E,628,98910,2,1,ok
315,315,99226,E,1,98911,0,1,ok
315,315,99854,E,629,99539,0,1,ok
316,316,99856,E,0,99540,1,1,ok
316,316,100488,E,632,100172,1,1,ok
317,317,100490,E,1,100173,2,1,ok
317,317,101122,E,633,100805,2,1,ok
318,318,101124,E,0,100806,0,1,ok
318,318,101760,E,636,101442,0,1,ok
319,319,101762,E,1,101443,1,1,ok
319,319,102398,E,637,102079,1,1,ok
320,320,102400,E,0,102080,2,1,ok
320,320,103040,E,640,102720,2,1,ok
321,321,103042,E,1,102721,0,1,ok
321,321,103682,E,641,103361,0,1,ok
322,322,103684,E,0,103362,1,1,ok
322,322,104328,E,644,104006,1,1,ok
322,322,47,O,,-275,1,1,ok
323,323,104330,E,1,104007,2,1,ok
