n,step,state,branch,floor_output,lower_gap,upper_gap,cell_width,exact_boundary_flag
674,0,674,E,25,49,2,51,0
675,0,675,O,17537,506,34569,35075,0
676,0,676,E,26,0,53,53,1
677,0,677,O,17615,508,34723,35231,0
678,0,678,E,26,2,51,53,0
679,0,679,O,17693,4590,30797,35387,0
680,0,680,E,26,4,49,53,0
681,0,681,O,17771,12800,22743,35543,0
682,0,682,E,26,6,47,53,0
683,0,683,O,17849,25186,10513,35699,0
684,0,684,E,26,8,45,53,0
685,0,685,O,17928,5941,29916,35857,0
686,0,686,E,26,10,43,53,0
687,0,687,O,18006,26667,9346,36013,0
688,0,688,E,26,12,41,53,0
689,0,689,O,18085,15544,20627,36171,0
690,0,690,E,26,14,39,53,0
691,0,691,O,18164,8475,27854,36329,0
692,0,692,E,26,16,37,53,0
693,0,693,O,18243,5508,30979,36487,0
694,0,694,E,26,18,35,53,0
695,0,695,O,18322,6691,29954,36645,0
696,0,696,E,26,20,33,53,0
697,0,697,O,18401,12072,24731,36803,0
698,0,698,E,26,22,31,53,0
699,0,699,O,18480,21699,15262,36961,0
700,0,700,E,26,24,29,53,0
701,0,701,O,18559,35620,1499,37119,0
